2.57	2.17	0.95	2.30	2.37	0.88	1.88	1.66	2.67	1.38	1.37	2.24	2.22	3.66	2.39	0.22	2.67	1.01	0.70	1.64
2.88	3.45	1.70	2.62	2.45	1.63	2.30	1.65	3.10	1.87	2.39	3.54	3.65	3.64	3.65	1.45	3.65	1.01	1.58	2.33
3.09	3.39	1.41	2.42	2.57	1.88	2.28	1.49	3.24	1.90	1.98	3.44	3.51	5.02	4.18	0.90	3.97	1.12	1.19	2.21
5.68	2.81	3.87	3.11	5.61	3.45	4.36	4.60	5.41	3.24	3.94	4.19	4.32	1.56	1.05	3.02	3.66	3.65	2.69	4.38
3.67	1.27	3.16	0.44	3.42	2.37	3.63	2.75	3.71	1.78	3.11	2.66	3.01	0.91	1.17	1.67	2.03	2.94	2.58	3.89
2.80	2.51	4.64	3.80	2.87	1.50	2.96	4.73	3.73	3.32	3.30	2.27	1.60	1.41	0.98	1.52	2.98	4.35	1.61	1.95
1.53	2.90	3.83	3.86	3.22	2.83	1.81	3.49	4.17	2.53	4.49	3.18	3.75	1.03	1.64	1.42	3.43	4.27	1.91	3.29
1.84	2.06	2.29	3.61	2.44	1.77	3.46	3.58	4.29	2.87	2.29	3.81	4.28	1.45	0.93	1.54	2.23	1.88	1.53	3.93
2.77	6.04	2.80	3.92	4.20	5.42	4.04	4.03	4.44	4.48	2.74	3.34	3.37	0.86	6.61	0.94	3.42	2.18	3.97	2.70
1.84	1.86	2.89	3.78	3.73	1.82	3.09	3.35	4.21	4.31	2.07	4.26	4.74	1.30	1.19	0.11	1.92	1.45	1.50	4.11
2.70	2.31	2.25	3.55	3.91	1.19	3.46	3.45	3.86	4.11	1.83	3.33	3.71	0.96	1.05	0.48	2.64	1.71	1.76	3.14
2.47	1.72	2.02	3.67	3.07	2.09	2.74	3.02	3.72	3.45	2.01	3.59	3.77	1.49	0.95	1.52	1.84	2.24	1.35	3.10
2.02	1.66	1.89	3.63	2.80	1.95	3.02	2.96	3.82	3.78	1.99	2.85	2.92	0.78	0.76	2.01	2.38	1.67	1.05	2.74
3.15	3.88	2.71	3.23	3.24	4.16	3.33	2.96	2.94	3.26	2.21	3.45	3.15	2.81	5.28	2.93	2.81	1.20	6.05	3.21
3.19	7.05	3.34	2.94	3.60	6.38	3.96	3.21	2.95	4.16	4.43	2.51	2.78	1.04	8.53	0.25	5.35	4.03	7.54	2.14
2.53	6.45	2.35	3.32	3.73	5.79	3.62	2.96	3.45	3.78	4.00	2.74	2.76	0.74	8.77	2.42	4.50	4.91	5.58	2.33
2.46	5.97	2.68	2.92	3.04	4.79	3.49	2.68	2.92	3.27	3.54	2.45	2.41	0.99	8.41	5.79	4.24	3.55	6.07	2.25
3.01	7.52	2.83	3.86	4.17	6.82	4.11	3.67	3.64	4.19	3.21	2.20	2.23	0.68	9.24	5.95	4.76	3.46	7.71	1.91
3.02	7.74	3.51	3.36	3.52	7.40	3.85	3.39	3.90	3.82	3.57	2.11	1.93	0.79	7.94	1.65	4.95	3.58	7.63	2.16
1.87	3.87	2.50	2.87	2.78	2.40	2.37	3.14	2.97	3.05	2.03	2.19	2.13	2.04	4.46	4.51	3.30	1.17	3.78	1.82
2.42	5.59	2.43	3.00	3.48	4.24	3.35	3.23	3.43	4.02	3.27	2.72	2.77	1.30	7.47	7.46	4.23	1.97	5.58	2.57
2.47	4.74	2.02	3.16	3.76	3.38	3.32	2.99	3.16	4.06	3.01	2.00	2.06	1.24	6.33	6.65	3.56	2.94	4.79	1.57
2.98	4.62	2.88	2.92	3.06	3.72	3.15	2.66	2.93	3.39	3.05	2.26	2.28	1.03	5.87	4.51	3.66	3.95	4.59	1.83
3.05	4.75	2.77	2.68	2.85	3.74	3.25	2.39	2.49	3.19	3.14	2.59	2.47	0.97	5.69	4.31	3.98	3.97	4.62	1.90
